date,cases,deaths,uf,time
2020-01-30,0,0,CE,16:00
2020-01-30,0,0,MG,16:00
2020-01-30,0,0,RJ,16:00
2020-01-30,0,0,SP,16:00
2020-01-30,0,0,PR,16:00
2020-01-30,0,0,SC,16:00
2020-01-30,0,0,RS,16:00
2020-01-31,0,0,CE,12:00
2020-01-31,0,0,MG,12:00
2020-01-31,0,0,RJ,12:00
2020-01-31,0,0,SP,12:00
2020-01-31,0,0,PR,12:00
2020-01-31,0,0,SC,12:00
2020-01-31,0,0,RS,12:00
2020-02-01,0,0,CE,12:00
2020-02-01,0,0,MG,12:00
2020-02-01,0,0,RJ,12:00
2020-02-01,0,0,SP,12:00
2020-02-01,0,0,PR,12:00
2020-02-01,0,0,SC,12:00
2020-02-01,0,0,RS,12:00
2020-02-02,0,0,CE,12:00
2020-02-02,0,0,MG,12:00
2020-02-02,0,0,RJ,12:00
2020-02-02,0,0,SP,12:00
2020-02-02,0,0,PR,12:00
2020-02-02,0,0,SC,12:00
2020-02-02,0,0,RS,12:00
2020-02-03,0,0,CE,16:00
2020-02-03,0,0,MG,16:00
2020-02-03,0,0,RJ,16:00
2020-02-03,0,0,SP,16:00
2020-02-03,0,0,PR,16:00
2020-02-03,0,0,SC,16:00
2020-02-03,0,0,RS,16:00
2020-02-04,0,0,CE,15:00
2020-02-04,0,0,MG,15:00
2020-02-04,0,0,RJ,15:00
2020-02-04,0,0,SP,15:00
2020-02-04,0,0,PR,15:00
2020-02-04,0,0,SC,15:00
2020-02-04,0,0,RS,15:00
2020-02-05,0,0,CE,12:00
2020-02-05,0,0,MG,12:00
2020-02-05,0,0,RJ,12:00
2020-02-05,0,0,SP,12:00
2020-02-05,0,0,PR,12:00
2020-02-05,0,0,SC,12:00
2020-02-05,0,0,RS,12:00
2020-02-06,0,0,CE,15:30
2020-02-06,0,0,MG,15:30
2020-02-06,0,0,RJ,15:30
2020-02-06,0,0,SP,15:30
2020-02-06,0,0,PR,15:30
2020-02-06,0,0,SC,15:30
2020-02-06,0,0,RS,15:30
2020-02-07,0,0,CE,15:30
2020-02-07,0,0,MG,15:30
2020-02-07,0,0,RJ,15:30
2020-02-07,0,0,SP,15:30
2020-02-07,0,0,PR,15:30
2020-02-07,0,0,SC,15:30
2020-02-07,0,0,RS,15:30
2020-02-08,0,0,CE,13:30
2020-02-08,0,0,MG,13:30
2020-02-08,0,0,RJ,13:30
2020-02-08,0,0,SP,13:30
2020-02-08,0,0,PR,13:30
2020-02-08,0,0,SC,13:30
2020-02-08,0,0,RS,13:30
2020-02-09,0,0,CE,13:30
2020-02-09,0,0,MG,13:30
2020-02-09,0,0,RJ,13:30
2020-02-09,0,0,SP,13:30
2020-02-09,0,0,PR,13:30
2020-02-09,0,0,SC,13:30
2020-02-09,0,0,RS,13:30
2020-02-10,0,0,CE,15:30
2020-02-10,0,0,MG,15:30
2020-02-10,0,0,RJ,15:30
2020-02-10,0,0,SP,15:30
2020-02-10,0,0,PR,15:30
2020-02-10,0,0,SC,15:30
2020-02-10,0,0,RS,15:30
2020-02-11,0,0,CE,16:00
2020-02-11,0,0,MG,16:00
2020-02-11,0,0,RJ,16:00
2020-02-11,0,0,SP,16:00
2020-02-11,0,0,PR,16:00
2020-02-11,0,0,SC,16:00
2020-02-11,0,0,RS,16:00
2020-02-12,0,0,CE,16:00
2020-02-12,0,0,MG,16:00
2020-02-12,0,0,RJ,16:00
2020-02-12,0,0,SP,16:00
2020-02-12,0,0,PR,16:00
2020-02-12,0,0,SC,16:00
2020-02-12,0,0,RS,16:00
2020-02-13,0,0,CE,16:00
2020-02-13,0,0,MG,16:00
2020-02-13,0,0,RJ,16:00
2020-02-13,0,0,SP,16:00
2020-02-13,0,0,PR,16:00
2020-02-13,0,0,SC,16:00
2020-02-13,0,0,RS,16:00
2020-02-13,0,0,DF,16:00
2020-02-14,0,0,CE,16:00
2020-02-14,0,0,MG,16:00
2020-02-14,0,0,RJ,16:00
2020-02-14,0,0,SP,16:00
2020-02-14,0,0,PR,16:00
2020-02-14,0,0,SC,16:00
2020-02-14,0,0,RS,16:00
2020-02-14,0,0,DF,16:00
2020-02-15,0,0,CE,14:00
2020-02-15,0,0,MG,14:00
2020-02-15,0,0,RJ,14:00
2020-02-15,0,0,SP,14:00
2020-02-15,0,0,PR,14:00
2020-02-15,0,0,SC,14:00
2020-02-15,0,0,RS,14:00
2020-02-15,0,0,DF,14:00
2020-02-16,0,0,CE,12:00
2020-02-16,0,0,MG,12:00
2020-02-16,0,0,RJ,12:00
2020-02-16,0,0,SP,12:00
2020-02-16,0,0,PR,12:00
2020-02-16,0,0,SC,12:00
2020-02-16,0,0,RS,12:00
2020-02-16,0,0,DF,12:00
2020-02-17,0,0,CE,15:50
2020-02-17,0,0,MG,15:50
2020-02-17,0,0,RJ,15:50
2020-02-17,0,0,SP,15:50
2020-02-17,0,0,PR,15:50
2020-02-17,0,0,SC,15:50
2020-02-17,0,0,RS,15:50
2020-02-17,0,0,DF,15:50
2020-02-18,0,0,CE,15:50
2020-02-18,0,0,MG,15:50
2020-02-18,0,0,RJ,15:50
2020-02-18,0,0,SP,15:50
2020-02-18,0,0,PR,15:50
2020-02-18,0,0,SC,15:50
2020-02-18,0,0,RS,15:50
2020-02-18,0,0,DF,15:50
2020-02-19,0,0,CE,15:50
2020-02-19,0,0,MG,15:50
2020-02-19,0,0,RJ,15:50
2020-02-19,0,0,SP,15:50
2020-02-19,0,0,PR,15:50
2020-02-19,0,0,SC,15:50
2020-02-19,0,0,RS,15:50
2020-02-19,0,0,DF,15:50
2020-02-20,0,0,CE,15:50
2020-02-20,0,0,MG,15:50
2020-02-20,0,0,RJ,15:50
2020-02-20,0,0,SP,15:50
2020-02-20,0,0,PR,15:50
2020-02-20,0,0,SC,15:50
2020-02-20,0,0,RS,15:50
2020-02-20,0,0,DF,15:50
2020-02-21,0,0,CE,14:30
2020-02-21,0,0,MG,14:30
2020-02-21,0,0,RJ,14:30
2020-02-21,0,0,SP,14:30
2020-02-21,0,0,PR,14:30
2020-02-21,0,0,SC,14:30
2020-02-21,0,0,RS,14:30
2020-02-21,0,0,DF,14:30
2020-02-22,0,0,CE,13:40
2020-02-22,0,0,MG,13:40
2020-02-22,0,0,RJ,13:40
2020-02-22,0,0,SP,13:40
2020-02-22,0,0,PR,13:40
2020-02-22,0,0,SC,13:40
2020-02-22,0,0,RS,13:40
2020-02-22,0,0,DF,13:40
2020-02-23,0,0,CE,12:30
2020-02-23,0,0,MG,12:30
2020-02-23,0,0,RJ,12:30
2020-02-23,0,0,SP,12:30
2020-02-23,0,0,PR,12:30
2020-02-23,0,0,SC,12:30
2020-02-23,0,0,RS,12:30
2020-02-23,0,0,DF,12:30
2020-02-24,0,0,CE,12:25
2020-02-24,0,0,MG,12:25
2020-02-24,0,0,RJ,12:25
2020-02-24,0,0,SP,12:25
2020-02-24,0,0,PR,12:25
2020-02-24,0,0,SC,12:25
2020-02-24,0,0,RS,12:25
2020-02-24,0,0,DF,12:25
2020-02-25,0,0,CE,13:50
2020-02-25,0,0,MG,13:50
2020-02-25,0,0,RJ,13:50
2020-02-25,0,0,SP,13:50
2020-02-25,0,0,PR,13:50
2020-02-25,0,0,SC,13:50
2020-02-25,0,0,RS,13:50
2020-02-25,0,0,DF,13:50
2020-02-26,0,0,CE,11:30
2020-02-26,0,0,PB,11:30
2020-02-26,0,0,PE,11:30
2020-02-26,0,0,BA,11:30
2020-02-26,0,0,MG,11:30
2020-02-26,0,0,ES,11:30
2020-02-26,0,0,RJ,11:30
2020-02-26,1,0,SP,11:30
2020-02-26,0,0,PR,11:30
2020-02-26,0,0,SC,11:30
2020-02-26,0,0,RS,11:30
2020-02-26,0,0,DF,11:30
2020-02-27,0,0,CE,17:00
2020-02-27,0,0,RN,17:00
2020-02-27,0,0,PB,17:00
2020-02-27,0,0,PE,17:00
2020-02-27,0,0,AL,17:00
2020-02-27,0,0,BA,17:00
2020-02-27,0,0,MG,17:00
2020-02-27,0,0,ES,17:00
2020-02-27,0,0,RJ,17:00
2020-02-27,1,0,SP,17:00
2020-02-27,0,0,PR,17:00
2020-02-27,0,0,SC,17:00
2020-02-27,0,0,RS,17:00
2020-02-27,0,0,MS,17:00
2020-02-27,0,0,GO,17:00
2020-02-27,0,0,DF,17:00
2020-02-28,0,0,CE,16:10
2020-02-28,0,0,RN,16:10
2020-02-28,0,0,PB,16:10
2020-02-28,0,0,PE,16:10
2020-02-28,0,0,AL,16:10
2020-02-28,0,0,BA,16:10
2020-02-28,0,0,MG,16:10
2020-02-28,0,0,ES,16:10
2020-02-28,0,0,RJ,16:10
2020-02-28,1,0,SP,16:10
2020-02-28,0,0,PR,16:10
2020-02-28,0,0,SC,16:10
2020-02-28,0,0,RS,16:10
2020-02-28,0,0,MS,16:10
2020-02-28,0,0,GO,16:10
2020-02-28,0,0,DF,16:10
2020-02-29,0,0,CE,19:05
2020-02-29,0,0,RN,19:05
2020-02-29,0,0,PB,19:05
2020-02-29,0,0,PE,19:05
2020-02-29,0,0,AL,19:05
2020-02-29,0,0,BA,19:05
2020-02-29,0,0,MG,19:05
2020-02-29,0,0,ES,19:05
2020-02-29,0,0,RJ,19:05
2020-02-29,2,0,SP,19:05
2020-02-29,0,0,PR,19:05
2020-02-29,0,0,SC,19:05
2020-02-29,0,0,RS,19:05
2020-02-29,0,0,MS,19:05
2020-02-29,0,0,GO,19:05
2020-02-29,0,0,DF,19:05
2020-03-01,0,0,CE,15:05
2020-03-01,0,0,RN,15:05
2020-03-01,0,0,PB,15:05
2020-03-01,0,0,PE,15:05
2020-03-01,0,0,AL,15:05
2020-03-01,0,0,BA,15:05
2020-03-01,0,0,MG,15:05
2020-03-01,0,0,ES,15:05
2020-03-01,0,0,RJ,15:05
2020-03-01,2,0,SP,15:05
2020-03-01,0,0,PR,15:05
2020-03-01,0,0,SC,15:05
2020-03-01,0,0,RS,15:05
2020-03-01,0,0,MS,15:05
2020-03-01,0,0,GO,15:05
2020-03-01,0,0,DF,15:05
2020-03-02,0,0,RO,16:30
2020-03-02,0,0,AM,16:30
2020-03-02,0,0,PA,16:30
2020-03-02,0,0,MA,16:30
2020-03-02,0,0,PI,16:30
2020-03-02,0,0,CE,16:30
2020-03-02,0,0,RN,16:30
2020-03-02,0,0,PB,16:30
2020-03-02,0,0,PE,16:30
2020-03-02,0,0,AL,16:30
2020-03-02,0,0,SE,16:30
2020-03-02,0,0,BA,16:30
2020-03-02,0,0,MG,16:30
2020-03-02,0,0,ES,16:30
2020-03-02,0,0,RJ,16:30
2020-03-02,2,0,SP,16:30
2020-03-02,0,0,PR,16:30
2020-03-02,0,0,SC,16:30
2020-03-02,0,0,RS,16:30
2020-03-02,0,0,MS,16:30
2020-03-02,0,0,MT,16:30
2020-03-02,0,0,GO,16:30
2020-03-02,0,0,DF,16:30
2020-03-03,0,0,RO,15:50
2020-03-03,0,0,AM,15:50
2020-03-03,0,0,PA,15:50
2020-03-03,0,0,MA,15:50
2020-03-03,0,0,PI,15:50
2020-03-03,0,0,CE,15:50
2020-03-03,0,0,RN,15:50
2020-03-03,0,0,PB,15:50
2020-03-03,0,0,PE,15:50
2020-03-03,0,0,AL,15:50
2020-03-03,0,0,SE,15:50
2020-03-03,0,0,BA,15:50
2020-03-03,0,0,MG,15:50
2020-03-03,0,0,ES,15:50
2020-03-03,0,0,RJ,15:50
2020-03-03,2,0,SP,15:50
2020-03-03,0,0,PR,15:50
2020-03-03,0,0,SC,15:50
2020-03-03,0,0,RS,15:50
2020-03-03,0,0,MS,15:50
2020-03-03,0,0,MT,15:50
2020-03-03,0,0,GO,15:50
2020-03-03,0,0,DF,15:50
2020-03-04,0,0,RO,17:15
2020-03-04,0,0,AM,17:15
2020-03-04,0,0,PA,17:15
2020-03-04,0,0,MA,17:15
2020-03-04,0,0,PI,17:15
2020-03-04,0,0,CE,17:15
2020-03-04,0,0,RN,17:15
2020-03-04,0,0,PB,17:15
2020-03-04,0,0,PE,17:15
2020-03-04,0,0,AL,17:15
2020-03-04,0,0,SE,17:15
2020-03-04,0,0,BA,17:15
2020-03-04,0,0,MG,17:15
2020-03-04,0,0,ES,17:15
2020-03-04,0,0,RJ,17:15
2020-03-04,3,0,SP,17:15
2020-03-04,0,0,PR,17:15
2020-03-04,0,0,SC,17:15
2020-03-04,0,0,RS,17:15
2020-03-04,0,0,MS,17:15
2020-03-04,0,0,MT,17:15
2020-03-04,0,0,GO,17:15
2020-03-04,0,0,DF,17:15
2020-03-05,0,0,RO,16:00
2020-03-05,0,0,AM,16:00
2020-03-05,0,0,PA,16:00
2020-03-05,0,0,MA,16:00
2020-03-05,0,0,PI,16:00
2020-03-05,0,0,CE,16:00
2020-03-05,0,0,RN,16:00
2020-03-05,0,0,PB,16:00
2020-03-05,0,0,PE,16:00
2020-03-05,0,0,AL,16:00
2020-03-05,0,0,SE,16:00
2020-03-05,0,0,BA,16:00
2020-03-05,0,0,MG,16:00
2020-03-05,0,0,ES,16:00
2020-03-05,1,0,RJ,16:00
2020-03-05,6,0,SP,16:00
2020-03-05,0,0,PR,16:00
2020-03-05,0,0,SC,16:00
2020-03-05,0,0,RS,16:00
2020-03-05,0,0,MS,16:00
2020-03-05,0,0,MT,16:00
2020-03-05,0,0,GO,16:00
2020-03-05,0,0,DF,16:00
2020-03-06,0,0,RO,16:00
2020-03-06,0,0,AM,16:00
2020-03-06,0,0,PA,16:00
2020-03-06,0,0,MA,16:00
2020-03-06,0,0,PI,16:00
2020-03-06,0,0,CE,16:00
2020-03-06,0,0,RN,16:00
2020-03-06,0,0,PB,16:00
2020-03-06,0,0,PE,16:00
2020-03-06,0,0,AL,16:00
2020-03-06,0,0,SE,16:00
2020-03-06,1,0,BA,16:00
2020-03-06,0,0,MG,16:00
2020-03-06,1,0,ES,16:00
2020-03-06,1,0,RJ,16:00
2020-03-06,10,0,SP,16:00
2020-03-06,0,0,PR,16:00
2020-03-06,0,0,SC,16:00
2020-03-06,0,0,RS,16:00
2020-03-06,0,0,MS,16:00
2020-03-06,0,0,MT,16:00
2020-03-06,0,0,GO,16:00
2020-03-06,0,0,DF,16:00
2020-03-07,0,0,RO,18:35
2020-03-07,0,0,AM,18:35
2020-03-07,0,0,PA,18:35
2020-03-07,0,0,MA,18:35
2020-03-07,0,0,PI,18:35
2020-03-07,0,0,CE,18:35
2020-03-07,0,0,RN,18:35
2020-03-07,0,0,PB,18:35
2020-03-07,0,0,PE,18:35
2020-03-07,0,0,AL,18:35
2020-03-07,0,0,SE,18:35
2020-03-07,2,0,BA,18:35
2020-03-07,0,0,MG,18:35
2020-03-07,1,0,ES,18:35
2020-03-07,2,0,RJ,18:35
2020-03-07,13,0,SP,18:35
2020-03-07,0,0,PR,18:35
2020-03-07,0,0,SC,18:35
2020-03-07,0,0,RS,18:35
2020-03-07,0,0,MS,18:35
2020-03-07,0,0,MT,18:35
2020-03-07,0,0,GO,18:35
2020-03-07,1,0,DF,18:35
2020-03-08,0,0,RO,17:30
2020-03-08,0,0,AM,17:30
2020-03-08,0,0,PA,17:30
2020-03-08,0,0,MA,17:30
2020-03-08,0,0,PI,17:30
