uid,suspects,refuses,confirmado,deads,local,cases,comments,broadcast,date,time,uf_x,uf_y
31,1,0,0,0,,0,,,30/01/2020,16:00,MG,MG
33,1,0,0,0,,0,,,30/01/2020,16:00,RJ,RJ
42,0,2,0,0,,0,,,30/01/2020,16:00,SC,SC
35,3,1,0,0,,0,,,30/01/2020,16:00,SP,SP
43,2,2,0,0,,0,,,30/01/2020,16:00,RS,RS
41,1,1,0,0,,0,,,30/01/2020,16:00,PR,PR
23,1,0,0,0,,0,,,30/01/2020,16:00,CE,CE
23,1,0,0,0,,0,,,31/01/2020,12:00,CE,CE
31,1,0,0,0,,0,,,31/01/2020,12:00,MG,MG
33,0,1,0,0,,0,,,31/01/2020,12:00,RJ,RJ
35,7,2,0,0,,0,,,31/01/2020,12:00,SP,SP
41,1,1,0,0,,0,,,31/01/2020,12:00,PR,PR
42,1,2,0,0,,0,,,31/01/2020,12:00,SC,SC
43,2,3,0,0,,0,,,31/01/2020,12:00,RS,RS
23,1,0,0,0,,0,,,01/02/2020,12:00,CE,CE
31,0,1,0,0,,0,,,01/02/2020,12:00,MG,MG
33,0,1,0,0,,0,,,01/02/2020,12:00,RJ,RJ
35,8,2,0,0,,0,,,01/02/2020,12:00,SP,SP
41,1,1,0,0,,0,,,01/02/2020,12:00,PR,PR
42,2,2,0,0,,0,,,01/02/2020,12:00,SC,SC
43,4,3,0,0,,0,,,01/02/2020,12:00,RS,RS
23,1,0,0,0,,0,,,02/02/2020,12:00,CE,CE
31,0,1,0,0,,0,,,02/02/2020,12:00,MG,MG
33,0,1,0,0,,0,,,02/02/2020,12:00,RJ,RJ
35,8,2,0,0,,0,,,02/02/2020,12:00,SP,SP
41,1,1,0,0,,0,,,02/02/2020,12:00,PR,PR
42,2,2,0,0,,0,,,02/02/2020,12:00,SC,SC
43,4,3,0,0,,0,,,02/02/2020,12:00,RS,RS
23,0,1,0,0,,0,,,03/02/2020,16:00,CE,CE
31,0,1,0,0,,0,,,03/02/2020,16:00,MG,MG
33,1,1,0,0,,0,,,03/02/2020,16:00,RJ,RJ
35,7,3,0,0,,0,,,03/02/2020,16:00,SP,SP
41,0,2,0,0,,0,,,03/02/2020,16:00,PR,PR
42,2,2,0,0,,0,,,03/02/2020,16:00,SC,SC
43,4,3,0,0,,0,,,03/02/2020,16:00,RS,RS
23,0,1,0,0,,0,,,04/02/2020,15:00,CE,CE
31,0,1,0,0,,0,,,04/02/2020,15:00,MG,MG
33,1,2,0,0,,0,,,04/02/2020,15:00,RJ,RJ
35,6,5,0,0,,0,,,04/02/2020,15:00,SP,SP
41,0,2,0,0,,0,,,04/02/2020,15:00,PR,PR
42,2,2,0,0,,0,,,04/02/2020,15:00,SC,SC
43,4,3,0,0,,0,,,04/02/2020,15:00,RS,RS
23,0,1,0,0,,0,,,05/02/2020,12:00,CE,CE
31,0,1,0,0,,0,,,05/02/2020,12:00,MG,MG
33,1,2,0,0,,0,,,05/02/2020,12:00,RJ,RJ
35,4,9,0,0,,0,,,05/02/2020,12:00,SP,SP
41,0,2,0,0,,0,,,05/02/2020,12:00,PR,PR
42,1,3,0,0,,0,,,05/02/2020,12:00,SC,SC
43,5,3,0,0,,0,,,05/02/2020,12:00,RS,RS
23,0,1,0,0,,0,,,06/02/2020,15:30,CE,CE
31,1,1,0,0,,0,,,06/02/2020,15:30,MG,MG
33,1,2,0,0,,0,,,06/02/2020,15:30,RJ,RJ
35,3,10,0,0,,0,,,06/02/2020,15:30,SP,SP
41,0,2,0,0,,0,,,06/02/2020,15:30,PR,PR
42,1,3,0,0,,0,,,06/02/2020,15:30,SC,SC
