uid,date,time,suspects,refuses,confirmado,deads,local,cases,comments,broadcast,deaths,uf
23.0,2020-02-25,13:50,0.0,1.0,0.0,0.0,0,0,0,0,0,CE
31.0,2020-02-25,13:50,0.0,2.0,0.0,0.0,0,0,0,0,0,MG
33.0,2020-02-25,13:50,0.0,8.0,0.0,0.0,0,0,0,0,0,RJ
35.0,2020-02-25,13:50,4.0,26.0,0.0,0.0,0,0,0,0,0,SP
41.0,2020-02-25,13:50,0.0,3.0,0.0,0.0,0,0,0,0,0,PR
42.0,2020-02-25,13:50,0.0,4.0,0.0,0.0,0,0,0,0,0,SC
43.0,2020-02-25,13:50,0.0,10.0,0.0,0.0,0,0,0,0,0,RS
53.0,2020-02-25,13:50,0.0,1.0,0.0,0.0,0,0,0,0,0,DF
23.0,2020-02-06,15:30,0.0,1.0,0.0,0.0,0,0,0,0,0,CE
31.0,2020-02-06,15:30,1.0,1.0,0.0,0.0,0,0,0,0,0,MG
33.0,2020-02-06,15:30,1.0,2.0,0.0,0.0,0,0,0,0,0,RJ
35.0,2020-02-06,15:30,3.0,10.0,0.0,0.0,0,0,0,0,0,SP
41.0,2020-02-06,15:30,0.0,2.0,0.0,0.0,0,0,0,0,0,PR
42.0,2020-02-06,15:30,1.0,3.0,0.0,0.0,0,0,0,0,0,SC
43.0,2020-02-06,15:30,3.0,5.0,0.0,0.0,0,0,0,0,0,RS
